Codice Indicatore;Matricola da assegnare
A100;
A102B;
A103;
A105;
A108;
A109;
A23;
A27;
A33;
A43;
A59D;
A67;
A67B;
A68;
A70;
A72;
A81;
E08;
E09;
E10;
E19;
E26;
S24;
S24B;
S25;
S31;
S32;
S47;
S47B;
S57;
S58;
S60;
S63;
S64;
ST10;
ST100;
ST11;
ST12;
ST13;
ST21;
ST22;
ST23;
ST25;
ST26;
ST47;
ST49;
ST56;
ST56B;
ST57;
ST57B;
ST74;
ST76;
ST77;
ST87B;
ST87C;
ST88;
